activation,Solver,Hidden layer sizes,Learning rate,Training time,Iterations,Accuracy
tanh,sgd,"(120, 120)",0.001,68.02197480201721,465,0.4354669464847849
tanh,sgd,"(120, 120)",0.01,4.611238718032837,30,0.26128016789087094
tanh,sgd,"(120, 120)",0.1,2.2585244178771973,12,0.1458551941238195
tanh,adam,"(20, 20)",0.001,6.6009721755981445,150,0.36935991605456453
tanh,adam,"(20, 20)",0.01,1.6836175918579102,30,0.24449108079748164
tanh,adam,"(20, 20)",0.1,0.8547134399414062,15,0.07660020986358866
tanh,adam,"(50, 50)",0.001,7.069736957550049,116,0.4428121720881427
tanh,adam,"(50, 50)",0.01,1.5787794589996338,28,0.2130115424973767
tanh,adam,"(50, 50)",0.1,0.9949123859405518,18,0.1888772298006296
tanh,adam,"(90, 90)",0.001,10.64180326461792,103,0.4879328436516264
tanh,adam,"(90, 90)",0.01,3.4245104789733887,35,0.2539349422875131
tanh,adam,"(90, 90)",0.1,1.8762567043304443,18,0.14795383001049317
tanh,adam,"(120, 120)",0.001,22.263592004776,110,0.5120671563483735
tanh,adam,"(120, 120)",0.01,7.649673223495483,40,0.30535152151101785
tanh,adam,"(120, 120)",0.1,5.671081304550171,26,0.09653725078698845
tanh,lbfgs,"(20, 20)",0.001,9.08664846420288,500,0.30640083945435465
tanh,lbfgs,"(20, 20)",0.01,9.191622257232666,500,0.31584470094438616
tanh,lbfgs,"(20, 20)",0.1,8.270902156829834,500,0.3126967471143757
tanh,lbfgs,"(50, 50)",0.001,16.960906744003296,500,0.35571878279118574
tanh,lbfgs,"(50, 50)",0.01,17.198888063430786,500,0.3462749213011542
tanh,lbfgs,"(50, 50)",0.1,17.631439447402954,500,0.3620146904512067
tanh,lbfgs,"(90, 90)",0.001,30.80177354812622,500,0.4060860440713536
tanh,lbfgs,"(90, 90)",0.01,32.38662028312683,500,0.40293809024134314
tanh,lbfgs,"(90, 90)",0.1,32.36844182014465,500,0.37670514165792235
tanh,lbfgs,"(120, 120)",0.001,42.318527698516846,500,0.3955928646379853
tanh,lbfgs,"(120, 120)",0.01,44.073322057724,500,0.440713536201469
tanh,lbfgs,"(120, 120)",0.1,40.754605770111084,500,0.40713536201469047
