n_layers,n_neurons,transfer_func,learn_rate,algorithm,max_iter,test_accuracy
2,20,tanh,0.1,lbfgs,200,0.9855331996487899
2,20,tanh,0.1,lbfgs,300,0.9926814932487312
2,20,relu,0.001,adam,100,0.910721652136125
2,20,relu,0.001,adam,200,0.9526476680682552
2,20,relu,0.001,adam,300,0.9419034014520503
2,20,relu,0.001,lbfgs,100,0.9385411623498746
2,20,relu,0.001,lbfgs,200,0.9749684957619194
2,20,relu,0.001,lbfgs,300,0.9837928176515618
2,20,relu,0.01,adam,100,0.960965419439417
2,20,relu,0.01,adam,200,0.9805586546824969
2,20,relu,0.01,adam,300,0.9608396794734424
2,20,relu,0.01,lbfgs,100,0.9426726235856309
2,20,relu,0.01,lbfgs,200,0.9700367813994033
2,20,relu,0.01,lbfgs,300,0.9929872215959668
2,20,relu,0.1,adam,100,0.9303174609200762
2,20,relu,0.1,adam,200,0.9163609692165164
2,20,relu,0.1,adam,300,0.9486980714271896
2,20,relu,0.1,lbfgs,100,0.9549546151003987
2,20,relu,0.1,lbfgs,200,0.9793448243835157
2,20,relu,0.1,lbfgs,300,0.9793253145995752
3,5,identity,0.001,adam,100,-0.6244593313606194
3,5,identity,0.001,adam,200,0.699724656594495
3,5,identity,0.001,adam,300,0.6930284942833983
3,5,identity,0.001,lbfgs,100,0.7190423698572801
3,5,identity,0.001,lbfgs,200,0.6976324707270378
3,5,identity,0.001,lbfgs,300,0.6842647346027324
3,5,identity,0.01,adam,100,0.711978135160662
3,5,identity,0.01,adam,200,0.6844376141278916
3,5,identity,0.01,adam,300,0.6636574588485895
3,5,identity,0.01,lbfgs,100,0.6974703204580992
3,5,identity,0.01,lbfgs,200,0.7106121034620272
3,5,identity,0.01,lbfgs,300,0.7389589487687406
3,5,identity,0.1,adam,100,0.581952419838711
3,5,identity,0.1,adam,200,0.6695991451324945
3,5,identity,0.1,adam,300,0.6744851684827633
3,5,identity,0.1,lbfgs,100,0.7033394070115413
3,5,identity,0.1,lbfgs,200,0.7061160877079024
3,5,identity,0.1,lbfgs,300,0.701434875977148
3,5,logistic,0.001,adam,100,-0.007583316857747657
3,5,logistic,0.001,adam,200,0.333955490340744
3,5,logistic,0.001,adam,300,0.34339754889998114
3,5,logistic,0.001,lbfgs,100,0.8234292608413684
3,5,logistic,0.001,lbfgs,200,0.9187559741475391
3,5,logistic,0.001,lbfgs,300,0.7923323826701609
3,5,logistic,0.01,adam,100,0.5015258143689143
3,5,logistic,0.01,adam,200,0.5721409487403493
3,5,logistic,0.01,adam,300,0.95510338634644
3,5,logistic,0.01,lbfgs,100,0.7135068647020815
3,5,logistic,0.01,lbfgs,200,0.7737302940457607
3,5,logistic,0.01,lbfgs,300,0.9441451499357577
3,5,logistic,0.1,adam,100,0.9252743103135851
3,5,logistic,0.1,adam,200,0.9606723366284334
3,5,logistic,0.1,adam,300,0.9675685693488305
3,5,logistic,0.1,lbfgs,100,0.6806088302152635
3,5,logistic,0.1,lbfgs,200,0.7578414031332992
3,5,logistic,0.1,lbfgs,300,0.9678387556172747
3,5,tanh,0.001,adam,100,0.5035350709884033
3,5,tanh,0.001,adam,200,0.7183142675302274
3,5,tanh,0.001,adam,300,0.867544827358653
3,5,tanh,0.001,lbfgs,100,0.9243187641011302
3,5,tanh,0.001,lbfgs,200,0.6366200411605099
3,5,tanh,0.001,lbfgs,300,0.976365169207115
3,5,tanh,0.01,adam,100,0.9732162822719316
3,5,tanh,0.01,adam,200,0.9693949651102975
3,5,tanh,0.01,adam,300,0.9737410931743119
3,5,tanh,0.01,lbfgs,100,0.8827717025231723
3,5,tanh,0.01,lbfgs,200,0.9262962713770464
3,5,tanh,0.01,lbfgs,300,0.9469901004100897
3,5,tanh,0.1,adam,100,0.9273421160961959
3,5,tanh,0.1,adam,200,0.8901026268627437
3,5,tanh,0.1,adam,300,0.9095486726899045
3,5,tanh,0.1,lbfgs,100,0.8427493137716958
3,5,tanh,0.1,lbfgs,200,0.9785139584218769
3,5,tanh,0.1,lbfgs,300,0.9512171260603863
3,5,relu,0.001,adam,100,0.6943603739691095
3,5,relu,0.001,adam,200,0.8590670154780072
3,5,relu,0.001,adam,300,0.5540406271956784
3,5,relu,0.001,lbfgs,100,0.931184555889969
3,5,relu,0.001,lbfgs,200,0.8442356730929038
3,5,relu,0.001,lbfgs,300,-0.013975435112482226
3,5,relu,0.01,adam,100,0.8391652833836897
3,5,relu,0.01,adam,200,0.7721985257837104
3,5,relu,0.01,adam,300,0.9270378619986561
3,5,relu,0.01,lbfgs,100,0.9605250342175649
3,5,relu,0.01,lbfgs,200,0.9498565321512233
3,5,relu,0.01,lbfgs,300,0.9441616114352087
3,5,relu,0.1,adam,100,0.7730040604244875
3,5,relu,0.1,adam,200,0.4878566993605302
3,5,relu,0.1,adam,300,0.9162579481330444
3,5,relu,0.1,lbfgs,100,0.7320298454346001
3,5,relu,0.1,lbfgs,200,0.8849306107798649
3,5,relu,0.1,lbfgs,300,0.4629911495172611
3,10,identity,0.001,adam,100,0.6874308449839612
3,10,identity,0.001,adam,200,0.6426642217402083
3,10,identity,0.001,adam,300,0.7297882375096391
3,10,identity,0.001,lbfgs,100,0.6640411437543252
3,10,identity,0.001,lbfgs,200,0.6755108117382893
3,10,identity,0.001,lbfgs,300,0.6653760868638292
3,10,identity,0.01,adam,100,0.702325975967881
3,10,identity,0.01,adam,200,0.7150354619784676
3,10,identity,0.01,adam,300,0.668915342362165
3,10,identity,0.01,lbfgs,100,0.6782582459716258
3,10,identity,0.01,lbfgs,200,0.7010938709295512
